universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,municipio_id,municipio_nombre,provincia_id,provincia_nombre,latitud,longitud
Universidad de Buenos Aires,Universidad de Buenos Aires,Viamonte 430,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Viamonte 430&provincia=2,"-34.59971093266858,-58.37308898582941",,,,,,,,,,,,,,,,,,,,,,-34.59971093266860,-58.37308898582940,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.59971093266860,-58.37308898582940
Universidad de Ciencias Empresariales y Sociales,Universidad de Ciencias Empresariales y Sociales,Paraguay 1401,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Paraguay 1401&provincia=2,"-34.5982797695651,-58.3869599869626",,,,,,,,,,,,,,,,,,,,,,-34.5982797695651,-58.3869599869626,2014,Comuna 2,,,2,Ciudad Autonoma de Buenos Aires,-34.5982797695651,-58.3869599869626
Universidad de Concepcion del Uruguay,Universidad de Concepcion del Uruguay,8 de Junio 522,,"-32.4815741,-58.2318849",,,,,,,,,,,,,,,,,,,,,,-32.4815741,-58.2318849,30098,Uruguay,,,30,Entre Rios,-32.4815741,-58.2318849
Universidad de Congreso,Universidad de Congreso,Av. Callao 150,,"-34.6021519,-58.3890774",,,,,,,,,,,,,,,,,,,,,,-34.6021519,-58.3890774,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6021519,-58.3890774
Universidad de Flores,Universidad de Flores,Av. Rivadavia 5741,,"-34.6274699,-58.4589968",,,,,,,,,,,,,,,,,,,,,,-34.6274699,-58.4589968,2049,Comuna 7,,,2,Ciudad Autonoma de Buenos Aires,-34.6274699,-58.4589968
Universidad de la Cuenca del Plata,Universidad de la Cuenca del Plata,Donovan 521,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Donovan 521,"-27.3750927,-55.9028806",,,,,,,,,,,,,,,,,,,,,,-27.3750927,-55.9028806,54028,Capital,540119,Posadas,54,Misiones,-27.3750927,-55.9028806
Universidad de la Defensa Nacional,Universidad de la Defensa Nacional,Maipu 262,,"-34.6050036,-58.3788407",,,,,,,,,,,,,,,,,,,,,,-34.6050036,-58.3788407,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6050036,-58.3788407
Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino,Avellaneda 3341,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avellaneda 3341&provincia=6,"-38.00719142806125,-57.563677285266195",,,,,,,,,,,,,,,,,,,,,,-38.00719142806130,-57.563677285266200,6357,General Pueyrredon,60357,General Pueyrredon,6,Buenos Aires,-38.00719142806130,-57.563677285266200
Universidad de la Marina Mercante,Universidad de la Marina Mercante,Av. Rivadavia 2258,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Rivadavia 2258&provincia=2,"-34.60965001204205, -58.398471321349234",,,,,,,,,,,,,,,,,,,,,,-34.60965001204210,-58.398471321349200,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.60965001204210,-58.398471321349200
Universidad de Mendoza,Universidad de Mendoza,Av. Boulogne Sur Mer 683,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Boulogne Sur Mer 683&provincia=50,"-32.8916714,-68.8635323",,,,,,,,,,,,,,,,,,,,,,-32.8916714,-68.8635323,50007,Capital,500007,Capital,50,Mendoza,-32.8916714,-68.8635323
Universidad de Moron,Universidad de Moron,Cabildo 134,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Cabildo 134&provincia=6,"-34.64724004619001, -58.61977592468715",,,,,,,,,,,,,,,,,,,,,,-34.64724004619000,-58.61977592468720,6568,Moron,60568,Moron,6,Buenos Aires,-34.64724004619000,-58.61977592468720
Universidad de Palermo,Universidad de Palermo,Mario Bravo 1050,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mario Bravo 1050&provincia=2,"-34.5972849453752,-58.41576251085405",,,,,,,,,,,,,,,,,,,,,,-34.5972849453752,-58.41576251085410,2098,Comuna 14,,,2,Ciudad Autonoma de Buenos Aires,-34.5972849453752,-58.41576251085410
Universidad de San Andres,Universidad de San Andres,Vito Dumas 284,,"-34.4461156,-58.5321377",,,,,,,,,,,,,,,,,,,,,,-34.4461156,-58.5321377,6749,San Fernando,60749,San Fernando,6,Buenos Aires,-34.4461156,-58.5321377
"Universidad de San Isidro ""Dr. Placido Marin""","Universidad de San Isidro ""Dr. Placido Marin""",Av. del Libertador 17175,,"-34.4617796,-58.5203287",,,,,,,,,,,,,,,,,,,,,,-34.4617796,-58.5203287,6756,San Isidro,60756,San Isidro,6,Buenos Aires,-34.4617796,-58.5203287
Universidad del Aconcagua,Universidad del Aconcagua,Catamarca 147,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Catamarca 147&provincia=50,"-32.889702977248035,-68.836339205674",,,,,,,,,,,,,,,,,,,,,,-32.889702977248000,-68.836339205674,50007,Capital,500007,Capital,50,Mendoza,-32.889702977248000,-68.836339205674
Universidad del CEMA,Universidad del CEMA,Av. Cordoba 374,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cordoba 374&provincia=2,"-34.598493489787174,-58.37246198342438",,,,,,,,,,,,,,,,,,,,,,-34.598493489787200,-58.37246198342440,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.598493489787200,-58.37246198342440
Universidad del Centro Educativo Latinoamericano,Universidad del Centro Educativo Latinoamericano,Av. Pellegrini 1332,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Pellegrini 1332&provincia=82,"-32.9565784932488,-60.6441042488731",,,,,,,,,,,,,,,,,,,,,,-32.9565784932488,-60.6441042488731,82084,Rosario,,,82,Santa Fe,-32.9565784932488,-60.6441042488731
