anio,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2016,Juridicas,267680.0,114574.0,153106.0,61587.0,27400.0,34187.0,23776.0,10093.0,13683.0,0.5719739988045427,0.555100914153961,0.42802600119545725
2016,Naturales,117543.0,53449.0,64094.0,25461.0,11134.0,14327.0,7093.0,3381.0,3712.0,0.5452813013110096,0.5627037429794588,0.4547186986889904
2016,Otros,68128.0,37308.0,30820.0,25740.0,13837.0,11903.0,4141.0,2470.0,1671.0,0.45238374823860966,0.46243201243201243,0.5476162517613903
2016,Psicologia,146303.0,27733.0,118570.0,34829.0,7224.0,27605.0,8384.0,1129.0,7255.0,0.8104413443333356,0.7925866375721382,0.18955865566666438
2016,Salud,320632.0,86663.0,233969.0,85875.0,22810.0,63065.0,27301.0,7278.0,20023.0,0.7297119439107762,0.7343813682678312,0.2702880560892238
2016,Sociales,118396.0,49359.0,69037.0,30383.0,13324.0,17059.0,6594.0,2438.0,4156.0,0.5831024696780297,0.5614652930915315,0.41689753032197036
2017,Arquitectura y Urbanismo,64562.0,31946.0,32616.0,11365.0,5809.0,5556.0,5933.0,2525.0,3408.0,0.5051888107555528,0.4888693356797184,0.4948111892444472
2017,Artes,66123.0,27805.0,38318.0,18149.0,7846.0,10303.0,2569.0,819.0,1750.0,0.5794957881523827,0.5676896798721692,0.4205042118476173
2017,Comunicacion,103802.0,37026.0,66776.0,26449.0,10160.0,16289.0,5616.0,1796.0,3820.0,0.6433016704880445,0.6158644939317176,0.35669832951195546
2017,Diseño,46776.0,16592.0,30184.0,11331.0,4341.0,6990.0,3145.0,859.0,2286.0,0.6452881819736617,0.6168917129997352,0.3547118180263383
2017,Economicas,325189.0,155036.0,170153.0,74690.0,37451.0,37239.0,17614.0,8394.0,9220.0,0.5232434061422742,0.4985808006426563,0.47675659385772584
2017,Educacion,154000.0,39793.0,114207.0,44196.0,11880.0,32316.0,8718.0,2127.0,6591.0,0.7416038961038961,0.7311973934292696,0.2583961038961039
2017,Exactas,22843.0,11439.0,11404.0,5348.0,2550.0,2798.0,1098.0,604.0,494.0,0.49923390097622905,0.5231862378459237,0.500766099023771
2017,"Hoteleria, Gastronomia y Turismo",26657.0,8441.0,18216.0,8269.0,2858.0,5411.0,1522.0,385.0,1137.0,0.6833477135461605,0.6543717499092998,0.3166522864538395
2017,Informatica,147536.0,124294.0,23242.0,36190.0,30860.0,5330.0,5724.0,4721.0,1003.0,0.1575344322741568,0.14727825366123237,0.8424655677258431
2017,Ingenieria,148659.0,115292.0,33367.0,31646.0,24261.0,7385.0,6822.0,5249.0,1573.0,0.22445327898075462,0.2333628262655628,0.7755467210192454
2017,Juridicas,267050.0,113775.0,153275.0,66755.0,29619.0,37136.0,21589.0,9026.0,12563.0,0.5739561879797791,0.5563028986592765,0.42604381202022096
2017,Naturales,103332.0,46838.0,56494.0,21146.0,9490.0,11656.0,5741.0,2770.0,2971.0,0.5467231835249488,0.5512153598789369,0.4532768164750513
2017,Otros,152049.0,72375.0,79674.0,58137.0,27655.0,30482.0,18695.0,7516.0,11179.0,0.5240021308920151,0.5243132600581385,0.4759978691079849
2017,Psicologia,151980.0,28996.0,122984.0,36446.0,7456.0,28990.0,7618.0,1109.0,6509.0,0.8092117383866299,0.7954233660758382,0.19078826161337017
2017,Salud,337588.0,93400.0,244188.0,94520.0,26661.0,67859.0,25246.0,6717.0,18529.0,0.7233313980354752,0.7179327126534066,0.2766686019645248
2017,Sociales,113822.0,48100.0,65722.0,29788.0,12912.0,16876.0,5691.0,2095.0,3596.0,0.5774103424645499,0.5665368604807305,0.4225896575354501
