universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y
Universidad CAECE,Universidad CAECE,Av. de Mayo 866,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. de Mayo 866,"-34.608865810462795,-58.378716306442456",,,,,,,,,,,,,,,,,,,,,,-34.608865810462795,-58.378716306442456,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6088658104628,-58.3787163064425,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.608865810462795,-58.378716306442456
Universidad Catolica de Cordoba,Universidad Catolica de Cordoba,Obispo Trejo 323,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Obispo Trejo 323&provincia=14,"-31.4527657,-64.2513093",,,,,,,,,,,,,,,,,,,,,,-31.4527657,-64.2513093,14014.0,Capital,140077.0,Cordoba,14.0,Cordoba,-31.4527657,-64.2513093,14014,Capital,140077,Córdoba,14,Córdoba,-31.4527657,-64.2513093
Universidad Catolica de Cuyo,Universidad Catolica de Cuyo,Av. Jose Ignacio de la Roza 1516,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Jose Ignacio de la Roza 1516,"-31.5403667,-68.5882198",,,,,,,,,,,,,,,,,,,,,,-31.5403667,-68.5882198,70084.0,Rivadavia,700084.0,Rivadavia,70.0,San Juan,-31.5403667,-68.5882198,70084,Rivadavia,700084,Rivadavia,70,San Juan,-31.5403667,-68.5882198
Universidad Catolica de La Plata,Universidad Catolica de La Plata,Av. 13 1227,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. 13 1227&provincia=6,"-34.924457391060656, -57.950327388915824",,,,,,,,,,,,,,,,,,,,,,-34.924457391060656, -57.950327388915824,6441.0,La Plata,60441.0,La Plata,6.0,Buenos Aires,-34.9244573910607,-57.950327388915795,06441,La Plata,060441,La Plata,06,Buenos Aires,-34.924457391060656, -57.950327388915824
Universidad Catolica de las Misiones,Universidad Catolica de las Misiones,Av. Jauretche 3300,,"-27.3558553,-55.9417525",,,,,,,,,,,,,,,,,,,,,,-27.3558553,-55.9417525,54028.0,Capital,540119.0,Posadas,54.0,Misiones,-27.3558553,-55.9417525,54028,Capital,540119,Posadas,54,Misiones,-27.3558553,-55.9417525
Universidad Catolica de Salta,Universidad Catolica de Salta,Av. Presidente Roque Saenz Peña 950,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Presidente Roque Saenz Peña 950&provincia=2,"-24.7399552,-65.3940334",,,,,,,,,,,,,,,,,,,,,,-24.7399552,-65.3940334,66028.0,Capital,660063.0,Salta,66.0,Salta,-24.7399552,-65.3940334,66028,Capital,660063,Salta,66,Salta,-24.7399552,-65.3940334
Universidad Catolica de Santa Fe,Universidad Catolica de Santa Fe,Echagüe 7151,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Echagüe 7151&provincia=82,"-31.607095036472234, -60.67088878632154",,,,,,,,,,,,,,,,,,,,,,-31.607095036472234, -60.67088878632154,82063.0,La Capital,820147.0,Santa Fe,82.0,Santa Fe,-31.607095036472202,-60.6708887863215,82063,La Capital,820147,Santa Fe,82,Santa Fe,-31.607095036472234, -60.67088878632154
Universidad Catolica de Santiago del Estero,Universidad Catolica de Santiago del Estero,Rivadavia 578,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Rivadavia 578&provincia=6,"-34.46911816523541,-58.51514668806574",,,,,,,,,,,,,,,,,,,,,,-34.46911816523541,-58.51514668806574,6756.0,San Isidro,60756.0,San Isidro,6.0,Buenos Aires,-34.4691181652354,-58.5151466880657,06756,San Isidro,060756,San Isidro,06,Buenos Aires,-34.46911816523541,-58.51514668806574
Universidad Champagnat,Universidad Champagnat,Belgrano 721,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Belgrano 721,"-33.8848483,-67.5266833",,,,,,,,,,,,,,,,,,,,,,-33.8848483,-67.5266833,50112.0,Santa Rosa,500112.0,Santa Rosa,50.0,Mendoza,-33.884848299999994,-67.5266833,50112,Santa Rosa,500112,Santa Rosa,50,Mendoza,-33.8848483,-67.5266833
Universidad de Belgrano,Universidad de Belgrano,Zabala 1837,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Zabala 1837&provincia=2,"-34.564446626972675,-58.44400348234273",,,,,,,,,,,,,,,,,,,,,,-34.564446626972675,-58.44400348234273,2091.0,Comuna 13,,,2.0,Ciudad Autonoma de Buenos Aires,-34.564446626972696,-58.4440034823427,02091,Comuna 13,,,02,Ciudad Autónoma de Buenos Aires,-34.564446626972675,-58.44400348234273
Universidad de Buenos Aires,Universidad de Buenos Aires,Viamonte 430,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Viamonte 430&provincia=2,"-34.59971093266858,-58.37308898582941",,,,,,,,,,,,,,,,,,,,,,-34.59971093266858,-58.37308898582941,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5997109326686,-58.3730889858294,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.59971093266858,-58.37308898582941
Universidad de Ciencias Empresariales y Sociales,Universidad de Ciencias Empresariales y Sociales,Paraguay 1401,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Paraguay 1401&provincia=2,"-34.5982797695651,-58.3869599869626",,,,,,,,,,,,,,,,,,,,,,-34.5982797695651,-58.3869599869626,2014.0,Comuna 2,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5982797695651,-58.3869599869626,02014,Comuna 2,,,02,Ciudad Autónoma de Buenos Aires,-34.5982797695651,-58.3869599869626
Universidad de Concepcion del Uruguay,Universidad de Concepcion del Uruguay,8 de Junio 522,,"-32.4815741,-58.2318849",,,,,,,,,,,,,,,,,,,,,,-32.4815741,-58.2318849,30098.0,Uruguay,,,30.0,Entre Rios,-32.4815741,-58.23188489999999,30098,Uruguay,,,30,Entre Ríos,-32.4815741,-58.2318849
Universidad de Congreso,Universidad de Congreso,Av. Callao 150,,"-34.6021519,-58.3890774",,,,,,,,,,,,,,,,,,,,,,-34.6021519,-58.3890774,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.602151899999996,-58.3890774,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6021519,-58.3890774
Universidad de Flores,Universidad de Flores,Av. Rivadavia 5741,,"-34.6274699,-58.4589968",,,,,,,,,,,,,,,,,,,,,,-34.6274699,-58.4589968,2049.0,Comuna 7,,,2.0,Ciudad Autonoma de Buenos Aires,-34.627469899999994,-58.4589968,02049,Comuna 7,,,02,Ciudad Autónoma de Buenos Aires,-34.6274699,-58.4589968
Universidad de la Cuenca del Plata,Universidad de la Cuenca del Plata,Donovan 521,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Donovan 521,"-27.3750927,-55.9028806",,,,,,,,,,,,,,,,,,,,,,-27.3750927,-55.9028806,54028.0,Capital,540119.0,Posadas,54.0,Misiones,-27.375092699999996,-55.902880599999996,54028,Capital,540119,Posadas,54,Misiones,-27.3750927,-55.9028806
Universidad de la Defensa Nacional,Universidad de la Defensa Nacional,Maipu 262,,"-34.6050036,-58.3788407",,,,,,,,,,,,,,,,,,,,,,-34.6050036,-58.3788407,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6050036,-58.3788407,02007,Comuna 1,,,02,Ciudad Autónoma de Buenos Aires,-34.6050036,-58.3788407
Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino,Avellaneda 3341,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avellaneda 3341&provincia=6,"-38.00719142806125,-57.563677285266195",,,,,,,,,,,,,,,,,,,,,,-38.00719142806125,-57.563677285266195,6357.0,General Pueyrredon,60357.0,General Pueyrredon,6.0,Buenos Aires,-38.0071914280613,-57.5636772852662,06357,General Pueyrredón,060357,General Pueyrredón,06,Buenos Aires,-38.00719142806125,-57.563677285266195
Universidad de la Marina Mercante,Universidad de la Marina Mercante,Av. Rivadavia 2258,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Rivadavia 2258&provincia=2,"-34.60965001204205, -58.398471321349234",,,,,,,,,,,,,,,,,,,,,,-34.60965001204205, -58.398471321349234,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6096500120421,-58.3984713213492,02021,Comuna 3,,,02,Ciudad Autónoma de Buenos Aires,-34.60965001204205, -58.398471321349234
Universidad de Mendoza,Universidad de Mendoza,Av. Boulogne Sur Mer 683,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Boulogne Sur Mer 683&provincia=50,"-32.8916714,-68.8635323",,,,,,,,,,,,,,,,,,,,,,-32.8916714,-68.8635323,50007.0,Capital,500007.0,Capital,50.0,Mendoza,-32.8916714,-68.8635323,50007,Capital,500007,Capital,50,Mendoza,-32.8916714,-68.8635323
