anio,carrera_grupo,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2012,Economicas,Posgrado,Presencial,15984.0,9467.0,6517.0,5724.0,3466.0,2258.0,1721.0,1120.0,601.0,0.8773559504577275,0.8858375833660259,1.2745018847603662
2012,Economicas,Pregrado,Distancia,4297.0,1755.0,2542.0,1709.0,682.0,1027.0,523.0,237.0,286.0,5.295833333333333,5.868571428571428,3.65625
2012,Economicas,Pregrado,Presencial,12956.0,6532.0,6424.0,4925.0,2579.0,2346.0,3057.0,1394.0,1663.0,0.9185015727766657,1.5077120822622108,0.9339433800400343
2012,Educacion,Grado,Distancia,11975.0,1717.0,10258.0,4006.0,659.0,3347.0,1058.0,113.0,945.0,8.584100418410042,3.998805256869773,1.4368200836820084
2012,Educacion,Grado,Presencial,108764.0,26843.0,81921.0,29543.0,8179.0,21364.0,5634.0,1287.0,4347.0,inf,inf,inf
2012,Educacion,Posgrado,Distancia,4650.0,1131.0,3519.0,3279.0,878.0,2401.0,1286.0,269.0,1017.0,3.038860103626943,5.444444444444445,0.9766839378238342
2012,Educacion,Posgrado,Presencial,10577.0,3144.0,7433.0,2460.0,730.0,1730.0,614.0,183.0,431.0,14.603143418467583,4.805555555555555,6.176817288801572
2012,Educacion,Pregrado,Distancia,401.0,98.0,303.0,65.0,7.0,58.0,24.0,9.0,15.0,0.01182762120384105,0.00565357247295058,0.00382543524084628
2012,Educacion,Pregrado,Presencial,3805.0,714.0,3091.0,804.0,235.0,569.0,551.0,115.0,436.0,0.7821356275303644,0.6608594657375145,0.18066801619433198
2012,Exactas,Grado,Distancia,220.0,51.0,169.0,66.0,14.0,52.0,3.0,1.0,2.0,0.1212338593974175,0.09252669039145907,0.036585365853658534
2012,Exactas,Grado,Presencial,19332.0,9874.0,9458.0,4436.0,2144.0,2292.0,685.0,315.0,370.0,1.27038280725319,0.7492644655116051,1.3262592343854935
2012,Exactas,Posgrado,Presencial,2895.0,1230.0,1665.0,609.0,284.0,325.0,327.0,136.0,191.0,2.091708542713568,0.7869249394673123,1.5452261306532664
2012,Exactas,Pregrado,Presencial,1670.0,548.0,1122.0,483.0,164.0,319.0,502.0,207.0,295.0,0.12121866897147796,0.09779276517473942,0.05920484010371651
2012,"Hoteleria, Gastronomia y Turismo",Grado,Distancia,1691.0,459.0,1232.0,581.0,194.0,387.0,120.0,19.0,101.0,3.9614147909967845,4.161290322580645,1.4758842443729903
2012,"Hoteleria, Gastronomia y Turismo",Grado,Presencial,18710.0,6238.0,12472.0,4506.0,1561.0,2945.0,818.0,191.0,627.0,20.148626817447497,7.689295039164491,10.077544426494345
2012,"Hoteleria, Gastronomia y Turismo",Posgrado,Presencial,379.0,143.0,236.0,81.0,31.0,50.0,6.0,3.0,3.0,0.24229979466119098,0.16447368421052633,0.14681724845995894
2012,"Hoteleria, Gastronomia y Turismo",Pregrado,Distancia,811.0,237.0,574.0,409.0,171.0,238.0,73.0,14.0,59.0,1.4642857142857142,3.966666666666667,0.6045918367346939
2012,"Hoteleria, Gastronomia y Turismo",Pregrado,Presencial,4757.0,1665.0,3092.0,1639.0,610.0,1029.0,523.0,145.0,378.0,0.0333466345998296,0.05553157042633567,0.01795670976995999
2012,Informatica,Grado,Distancia,3371.0,2703.0,668.0,1447.0,1172.0,275.0,172.0,120.0,52.0,0.8918558077436582,3.5256410256410255,3.608811748998665
2012,Informatica,Grado,Presencial,131662.0,108261.0,23401.0,26497.0,22401.0,4096.0,4788.0,3771.0,1017.0,4.432847130138284,3.5249569707401034,20.507861337374504
2012,Informatica,Posgrado,Distancia,56.0,10.0,46.0,0.0,0.0,0.0,2.0,0.0,2.0,0.016999260901699925,0.0,0.003695491500369549
2012,Informatica,Posgrado,Presencial,2960.0,2030.0,930.0,655.0,454.0,201.0,157.0,114.0,43.0,2.22488038277512,1.488888888888889,4.856459330143541
2012,Informatica,Pregrado,Distancia,933.0,663.0,270.0,370.0,283.0,87.0,73.0,55.0,18.0,0.009715025906735751,0.013770180436847104,0.023855785837651123
2012,Informatica,Pregrado,Presencial,22214.0,17917.0,4297.0,8017.0,6554.0,1463.0,2371.0,1936.0,435.0,8.425490196078432,3.4668246445497632,35.13137254901961
2012,Ingenieria,Grado,Distancia,117.0,94.0,23.0,47.0,38.0,9.0,4.0,4.0,0.0,0.014171287738755391,0.012534818941504178,0.05791743684534812
2012,Ingenieria,Grado,Presencial,120293.0,97185.0,23108.0,24572.0,19170.0,5402.0,4758.0,3898.0,860.0,48.04158004158004,41.87596899224806,202.04781704781703
2012,Ingenieria,Posgrado,Presencial,3029.0,2060.0,969.0,851.0,611.0,240.0,303.0,194.0,109.0,1.1280558789289872,0.8695652173913043,2.39813736903376
2012,Ingenieria,Pregrado,Presencial,5127.0,4759.0,368.0,2071.0,1926.0,145.0,951.0,830.0,121.0,0.0020041062394144525,0.0036706072956484317,0.02591723259068853
2012,Juridicas,Grado,Distancia,26235.0,11649.0,14586.0,10084.0,4836.0,5248.0,764.0,302.0,462.0,1.0517738678973176,1.7331571994715984,0.8399913469858667
2012,Juridicas,Grado,Presencial,190415.0,79988.0,110427.0,36618.0,15796.0,20822.0,11154.0,4407.0,6747.0,49.385957066189626,24.817640047675805,35.772808586762075
2012,Juridicas,Posgrado,Presencial,20964.0,9124.0,11840.0,5700.0,2530.0,3170.0,1484.0,694.0,790.0,0.9357464632893385,0.8328954282711508,0.7210938117442504
2012,Juridicas,Pregrado,Distancia,10703.0,5439.0,5264.0,5800.0,3029.0,2771.0,1492.0,693.0,799.0,2.363718006286484,1.8901773533424284,2.442299057027391
2012,Juridicas,Pregrado,Presencial,12621.0,6487.0,6134.0,4209.0,2148.0,2061.0,4385.0,2016.0,2369.0,0.13638081686195166,0.17006353659542867,0.14422927273940014
2012,Naturales,Grado,Distancia,2585.0,841.0,1744.0,1143.0,415.0,728.0,69.0,24.0,45.0,124.57142857142857,inf,60.07142857142857
2012,Naturales,Grado,Presencial,94495.0,45618.0,48877.0,17056.0,7890.0,9166.0,4141.0,2142.0,1999.0,8.123151071962772,4.145635459068295,7.581519029416653
2012,Naturales,Posgrado,Distancia,36.0,23.0,13.0,19.0,10.0,9.0,0.0,0.0,0.0,0.00599354541263255,0.00995575221238938,0.010603964960811434
2012,Naturales,Posgrado,Presencial,11326.0,4792.0,6534.0,2716.0,1205.0,1511.0,1705.0,700.0,1005.0,1.4260148406809254,0.8546380090497737,1.0458315146224355
2012,Naturales,Pregrado,Distancia,602.0,376.0,226.0,222.0,135.0,87.0,67.0,40.0,27.0,0.0034824414071528732,0.007078350012204052,0.00579379632340478
2012,Naturales,Pregrado,Presencial,8154.0,4100.0,4054.0,2748.0,1449.0,1299.0,625.0,281.0,344.0,0.3577164034236301,0.41120607787274455,0.3617753463337157
2012,Otros,Grado,Distancia,1560.0,859.0,701.0,952.0,559.0,393.0,41.0,21.0,20.0,0.7167689161554193,0.8469827586206896,0.878323108384458
2012,Otros,Grado,Presencial,41133.0,22317.0,18816.0,15240.0,8379.0,6861.0,1840.0,1155.0,685.0,6.187438342650444,8.717916137229988,7.338704373561328
2012,Otros,Posgrado,Presencial,2541.0,1560.0,981.0,947.0,620.0,327.0,329.0,239.0,90.0,0.28938053097345134,0.15943442223305704,0.46017699115044247
2012,Otros,Pregrado,Distancia,3591.0,1881.0,1710.0,2285.0,1300.0,985.0,43.0,19.0,24.0,0.1237247666594313,0.2612732095490716,0.13609724332537443
2012,Otros,Pregrado,Presencial,7567.0,4004.0,3563.0,2536.0,1243.0,1293.0,2828.0,1223.0,1605.0,34.592233009708735,33.15384615384615,38.87378640776699
2012,Psicologia,Grado,Distancia,1119.0,66.0,1053.0,387.0,29.0,358.0,51.0,3.0,48.0,0.452319587628866,0.387027027027027,0.028350515463917526
2012,Psicologia,Grado,Presencial,119831.0,22236.0,97595.0,25653.0,5420.0,20233.0,6908.0,880.0,6028.0,587.9216867469879,809.32,133.95180722891567
2012,Psicologia,Posgrado,Distancia,1257.0,256.0,1001.0,438.0,95.0,343.0,117.0,24.0,93.0,0.019721806288911656,0.04425235453489872,0.005043738671290094
2012,Psicologia,Posgrado,Presencial,6961.0,1298.0,5663.0,1894.0,424.0,1470.0,388.0,86.0,302.0,5.267906976744186,3.994565217391304,1.2074418604651163
2012,Psicologia,Pregrado,Presencial,3130.0,545.0,2585.0,910.0,167.0,743.0,436.0,59.0,377.0,23.935185185185187,25.620689655172413,5.046296296296297
2012,Salud,Grado,Distancia,4830.0,1551.0,3279.0,2170.0,735.0,1435.0,478.0,100.0,378.0,0.3624806544328985,0.8451118963486455,0.17145699756798585
2012,Salud,Grado,Presencial,232993.0,64578.0,168415.0,52721.0,14382.0,38339.0,15332.0,4113.0,11219.0,1439.4444444444443,697.0727272727273,551.9487179487179
2012,Salud,Posgrado,Distancia,9.0,3.0,6.0,2.0,2.0,0.0,7.0,4.0,3.0,inf,,inf
2012,Salud,Posgrado,Presencial,23278.0,8918.0,14360.0,6584.0,2483.0,4101.0,2822.0,1127.0,1695.0,69.03846153846153,59.43478260869565,42.875
2012,Salud,Pregrado,Distancia,2615.0,692.0,1923.0,1173.0,368.0,805.0,159.0,34.0,125.0,0.04402875721219892,0.07025045815516189,0.015843941752907775
